MESS_DATUM,RSK,RSKF,SDK,PM,TMK
1947-01-01,2.4,7,0,992.6,-2.8
1947-01-02,0.4,7,0.2,996.2,-0.6
1947-01-03,0,7,0,1001.4,-0.7
1947-01-04,0,0,2.8,1003.9,-8.2
1947-01-05,0,0,5.4,998.7,-12.9
1947-01-06,0,0,6.5,991.4,-13
1947-01-07,0,0,2.8,989.8,-13.8
1947-01-08,0.2,7,0,991.9,-7.9
1947-01-09,2.8,8,0,988.2,-2.8
1947-01-10,0,0,0,991.2,1.1
1947-01-11,5.8,8,0,984.3,0.6
1947-01-12,2.6,1,0.2,981.1,4.3
1947-01-13,3,1,0,979.6,4.6
1947-01-14,1.6,1,1.1,991,4.1
1947-01-15,0,0,0.1,999.5,5
1947-01-16,0,0,0,1002,-1
1947-01-17,1,1,0,999.5,0.6
1947-01-18,0.5,1,3.8,1004,3.3
1947-01-19,0.4,8,2,999.5,1.4
1947-01-20,0,7,6.5,995,-0.4
1947-01-21,0.8,7,3.7,995.1,-1.9
1947-01-22,0.3,7,3.9,995,-5.1
1947-01-23,0,7,1.8,997.6,-4.7
1947-01-24,0.2,7,0,1000.7,-7.4
1947-01-25,0,0,5.4,993,-8.4
1947-01-26,0,0,2.3,981.6,-9
1947-01-27,0,7,0,986.3,-11.4
1947-01-28,0,0,6.3,991,-10.8
1947-01-29,0,0,3.7,991.2,-7.4
1947-01-30,0,0,5.7,988.4,-7.2
1947-01-31,0,0,4,988.3,-9.6
1947-02-01,0,0,5,988.3,-8.6
1947-02-02,0,1,5.6,983,-8
1947-02-03,0,1,0.2,971.5,-3.7
1947-02-04,3.7,7,0,966.2,-3.9
1947-02-05,0.5,7,0,974.8,-4.8
1947-02-06,1.1,7,0.1,987.8,-7.1
1947-02-07,0,1,0,987.4,-9.5
1947-02-08,5.3,7,3.3,978.4,-6.2
1947-02-09,0,1,0,983,-4.6
1947-02-10,0,1,2,982.6,-2.4
1947-02-11,0.3,7,0.4,983.5,-2.8
1947-02-12,0,0,7.1,984,-3
1947-02-13,0,0,1.6,986.6,-6
1947-02-14,2.2,7,0.7,990,-6
1947-02-15,4.1,7,0,992.6,-7.4
1947-02-16,1.4,7,0,993,-7.6
1947-02-17,0,0,4.8,990.3,-6
1947-02-18,0,0,7.2,983.5,-8.2
1947-02-19,0,1,0,980.8,-6.3
1947-02-20,0,1,0,982.4,-6.4
1947-02-21,9.1,8,0.5,973.4,-2.5
1947-02-22,7,8,0,966.3,4.4
1947-02-23,0.5,7,0.2,983.2,-4.5
1947-02-24,0,1,8.1,988.7,-5.5
1947-02-25,0,1,0,983.6,-5.6
1947-02-26,0,0,8.5,991.6,-5.2
1947-02-27,0,1,6,979.9,-3.6
1947-02-28,5.1,8,0.2,969.5,0.6
1947-03-01,0,1,4.7,977.9,-1.5
1947-03-02,0,0,7.9,987.4,-1.9
1947-03-03,0,0,7.4,991.8,-2.4
1947-03-04,6.8,1,5,987.8,-0.2
1947-03-05,11.2,1,0,971.4,1.2
1947-03-06,0.9,1,3.9,972.4,5.8
1947-03-07,1,8,0.1,977,0.3
1947-03-08,0,0,9,990.2,-2.2
1947-03-09,0,1,4,995.5,0.7
1947-03-10,13.4,8,0,990.2,0.6
1947-03-11,3.8,1,2.3,974,4.9
1947-03-12,0.3,7,0,991.2,-0.6
1947-03-13,1,1,0.5,980.8,3.2
1947-03-14,5.2,1,0.6,971.9,8.9
1947-03-15,0,0,6.5,996.4,0.1
1947-03-16,0,0,2.7,989.4,3.2
1947-03-17,0,0,5.1,985.8,8.7
1947-03-18,8.8,1,2.6,982.8,9.2
1947-03-19,4.7,1,0,976.6,6.2
1947-03-20,3,1,2.4,974.4,6.7
1947-03-21,2.7,1,0,980.3,8.5
1947-03-22,6.5,1,0,976.4,10.3
1947-03-23,0.2,1,4.6,978.4,8.5
1947-03-24,3.5,1,4.3,977.5,7.1
1947-03-25,0,1,2.9,991.1,4
1947-03-26,0,0,3.4,988.3,4.3
1947-03-27,0,1,1.5,982,7
1947-03-28,0,1,7.5,979.4,11
1947-03-29,0,1,0.1,971.6,12
1947-03-30,0,0,0,970.3,8.8
1947-03-31,1.7,1,6.7,975.6,9.2
1947-04-01,0.1,8,6.1,976.7,8.7
1947-04-02,22.4,1,1.2,975.4,6.7
1947-04-03,2.5,1,3.4,980.4,8.2
1947-04-04,0.4,1,5.9,978.7,9.4
1947-04-05,0,0,1.7,998.4,4.9
1947-04-06,16.5,1,0,995.5,8
1947-04-07,16.5,1,0.6,992.4,12
1947-04-08,3.3,1,1.2,990,14
1947-04-09,1,1,2.3,996.3,5.7
1947-04-10,0,0,10.4,1010.3,5.3
1947-04-11,0,0,10.9,1008.6,6.6
1947-04-12,0,0,10.9,1004.6,8.4
1947-04-13,0,0,11.1,1002.7,10.5
1947-04-14,0,0,9.7,999.9,14.2
1947-04-15,0,0,9.4,1002.6,16.2
1947-04-16,0,0,11.4,1000.2,15.5
1947-04-17,0,0,11.2,993.8,17.4
1947-04-18,1.6,1,1.6,992.8,13.7
1947-04-19,0,0,7,991.5,14.5
1947-04-20,0,1,8,992.4,15.1
1947-04-21,2.1,1,6.9,995.5,12.6
1947-04-22,1.8,1,8,990.6,16.4
1947-04-23,0.9,1,3.8,991.2,11.6
1947-04-24,0,1,11.2,996,12
1947-04-25,0,0,11.8,1002.6,13.7
1947-04-26,0.1,1,3.3,998.2,13.3
1947-04-27,0,0,11.3,995.5,15.5
1947-04-28,2.2,1,1.9,989.8,12.2
1947-04-29,0,0,10.1,994.4,10
1947-04-30,1,1,5.4,982.2,10.9
1947-05-01,0,1,6.3,987.4,9.7
1947-05-02,0,1,1,985.9,12.2
1947-05-03,0,0,1.6,987.9,13.4
1947-05-04,0.8,1,8.9,987.5,13.4
1947-05-05,0,1,0,993,8.9
1947-05-06,0,0,7.9,995.5,14
1947-05-07,0,0,12,994.8,15.9
1947-05-08,0,0,11.6,992.4,17.7
1947-05-09,0,0,12.1,990.3,19.1
1947-05-10,3.5,1,5.9,989.4,15.4
1947-05-11,0,0,11.8,992,17.8
1947-05-12,0,0,9,991.2,18.7
1947-05-13,0,0,8.7,989.8,19.2
1947-05-14,0,0,12.3,983.9,18.9
1947-05-15,4.4,1,0.7,984.7,16
1947-05-16,5.8,1,0,991.1,9.2
1947-05-17,3.5,1,0.2,989.4,11.7
1947-05-18,2.7,1,6.5,986.6,11.2
1947-05-19,0,1,3,989.5,12.3
1947-05-20,0,0,4.7,993.9,12.6
1947-05-21,0,0,9.6,995,15.6
1947-05-22,0,1,1.4,990.7,15.8
1947-05-23,0,1,5.2,984.4,16.2
1947-05-24,4.2,1,5.5,984.3,15.8
1947-05-25,0,1,4.9,988.8,16.9
1947-05-26,0,0,10.2,991.4,19.1
1947-05-27,0,0,4,993,20.5
1947-05-28,0,0,12.5,995.8,19.2
1947-05-29,0,0,13.3,997,19
1947-05-30,0,0,13.5,996.4,21.5
1947-05-31,0,0,13.6,993,21.6
1947-06-01,0,1,8.5,991.4,22.8
1947-06-02,0,0,12.9,989.9,24.6
1947-06-03,0,0,13.6,986.7,25.1
1947-06-04,4.5,1,12.6,983,25.3
1947-06-05,0,1,7,987.2,16.8
1947-06-06,3,1,0.3,983.8,12.8
1947-06-07,0.2,1,2.2,991,12.1
1947-06-08,0.5,1,7.3,993.6,15.5
1947-06-09,0.3,1,10.2,995.2,13.1
1947-06-10,0,0,10.9,999.4,13.4
1947-06-11,0,0,4.8,994,13.4
1947-06-12,0,0,11.7,987.2,16
1947-06-13,0,0,10.5,983.8,17.7
1947-06-14,0,0,8.4,983,19.9
1947-06-15,5.5,1,3.4,982.7,14.8
1947-06-16,0,0,10.6,995.9,14.9
1947-06-17,0,0,12.9,997.2,17
1947-06-18,0,0,13.8,992.4,19.4
1947-06-19,0,1,9,990.3,20.7
1947-06-20,0,0,4.8,991.1,21.3
1947-06-21,5.3,1,6.7,989.1,20.1
1947-06-22,7.9,1,5.4,987.8,16.3
1947-06-23,0,0,5.6,993.9,15.8
1947-06-24,0,0,12.2,994.2,18.8
1947-06-25,0,0,13.3,991.5,24.3
1947-06-26,0,0,12.9,993.2,27.8
1947-06-27,0,0,13.3,994.2,28.1
1947-06-28,0,0,13.2,993,27.7
1947-06-29,0,0,11.3,992.3,27.5
1947-06-30,2.5,1,10.1,992.8,21.7
1947-07-01,2.8,1,2.5,992.7,18.5
1947-07-02,0,0,9.9,994.8,19
1947-07-03,0,0,12,993.4,21.6
1947-07-04,0,0,10.3,989.5,24.8
1947-07-05,2.9,1,4,984.7,17.7
1947-07-06,0,0,11.1,988.6,17.7
