Journey Duration,Journey ID,End Date,End Month,End Year,End Hour,End Minute,End Station ID,Start Date,Start Month,Start Year,Start Hour,Start Minute,Start Station ID
2040,953,19,9,17,18,0,478,19,9,17,17,26,251
1800,12581,19,9,17,15,21,122,19,9,17,14,51,550
1140,1159,15,9,17,17,1,639,15,9,17,16,42,212
420,2375,14,9,17,12,16,755,14,9,17,12,9,163
1200,14659,13,9,17,19,33,605,13,9,17,19,13,36
1320,2351,14,9,17,14,53,514,14,9,17,14,31,589
720,7252,17,9,17,17,12,484,17,9,17,17,0,478
720,9782,17,9,17,17,12,484,17,9,17,17,0,478
540,13500,15,9,17,13,42,367,15,9,17,13,33,153
960,11205,15,9,17,16,3,350,15,9,17,15,47,396
420,5457,18,9,17,8,53,298,18,9,17,8,46,732
1620,3070,18,9,17,17,34,796,18,9,17,17,7,818
780,14816,15,9,17,17,38,197,15,9,17,17,25,298
960,14558,14,9,17,15,58,154,14,9,17,15,42,298
960,5796,15,9,17,9,8,298,15,9,17,8,52,374
900,9923,13,9,17,8,32,298,13,9,17,8,17,154
480,1916,15,9,17,15,0,186,15,9,17,14,52,201
1320,9528,14,9,17,13,14,176,14,9,17,12,52,201
720,11403,15,9,17,19,42,201,15,9,17,19,30,224
600,482,14,9,17,15,13,201,14,9,17,15,3,176
660,13331,19,9,17,14,12,201,19,9,17,14,1,105
540,5607,19,9,17,11,9,105,19,9,17,11,0,201
480,9642,13,9,17,15,31,194,13,9,17,15,23,156
480,12668,13,9,17,15,31,194,13,9,17,15,23,156
360,4726,16,9,17,17,55,515,16,9,17,17,49,652
420,13350,16,9,17,15,12,652,16,9,17,15,5,515
1080,13516,17,9,17,15,32,129,17,9,17,15,14,67
540,10647,17,9,17,12,58,703,17,9,17,12,49,645
900,2254,19,9,17,8,48,368,19,9,17,8,33,224
660,8907,13,9,17,8,42,368,13,9,17,8,31,307
600,8349,14,9,17,8,53,166,14,9,17,8,43,307
960,13904,13,9,17,7,44,108,13,9,17,7,28,603
1200,7434,15,9,17,22,33,603,15,9,17,22,13,764
300,1804,13,9,17,20,36,603,13,9,17,20,31,270
1860,10182,15,9,17,18,48,764,15,9,17,18,17,108
600,9943,16,9,17,14,36,603,16,9,17,14,26,376
2100,13290,15,9,17,8,46,301,15,9,17,8,11,603
1080,13314,17,9,17,18,34,603,17,9,17,18,16,321
1260,3182,17,9,17,15,35,321,17,9,17,15,14,603
660,14577,13,9,17,16,36,374,13,9,17,16,25,108
960,10678,18,9,17,18,36,603,18,9,17,18,20,108
960,11004,19,9,17,7,34,108,19,9,17,7,18,603
900,761,18,9,17,7,47,108,18,9,17,7,32,603
360,11036,14,9,17,18,40,808,14,9,17,18,34,603
1140,390,15,9,17,10,18,108,15,9,17,9,59,141
540,6209,16,9,17,11,2,376,16,9,17,10,53,603
1380,11703,18,9,17,0,26,726,18,9,17,0,3,44
1320,11695,18,9,17,0,26,726,18,9,17,0,4,44
360,1558,18,9,17,8,25,581,18,9,17,8,19,239
240,10081,18,9,17,12,49,28,18,9,17,12,45,581
1320,13910,14,9,17,9,46,288,14,9,17,9,24,581
1320,7411,14,9,17,12,24,581,14,9,17,12,2,124
240,10081,18,9,17,14,47,581,18,9,17,14,43,28
1080,965,18,9,17,8,51,130,18,9,17,8,33,273
1020,7251,18,9,17,19,32,819,18,9,17,19,15,130
1140,10684,19,9,17,8,50,130,19,9,17,8,31,273
540,10892,15,9,17,18,41,509,15,9,17,18,32,256
720,9977,15,9,17,19,8,154,15,9,17,18,56,509
960,494,15,9,17,12,19,448,15,9,17,12,3,448
420,12730,19,9,17,18,17,716,19,9,17,18,10,448
360,13205,19,9,17,7,15,448,19,9,17,7,9,716
420,10036,15,9,17,8,1,448,15,9,17,7,54,716
840,13228,16,9,17,19,47,656,16,9,17,19,33,649
600,3857,16,9,17,8,39,649,16,9,17,8,29,596
1620,2485,16,9,17,22,51,506,16,9,17,22,24,808
1080,12540,16,9,17,14,0,235,16,9,17,13,42,506
720,15068,16,9,17,17,44,802,16,9,17,17,32,235
300,13557,15,9,17,16,54,140,15,9,17,16,49,246
900,8988,15,9,17,13,21,140,15,9,17,13,6,135
960,3110,19,9,17,8,11,135,19,9,17,7,55,130
840,14530,13,9,17,8,7,135,13,9,17,7,53,130
900,13827,15,9,17,8,8,135,15,9,17,7,53,130
720,6340,14,9,17,8,13,135,14,9,17,8,1,130
780,4894,13,9,17,17,52,104,13,9,17,17,39,135
780,12808,18,9,17,8,4,135,18,9,17,7,51,104
720,3311,18,9,17,17,50,104,18,9,17,17,38,135
780,9501,19,9,17,17,52,104,19,9,17,17,39,135
720,9121,15,9,17,13,37,737,15,9,17,13,25,157
1500,1116,16,9,17,17,52,730,16,9,17,17,27,616
960,13742,17,9,17,10,45,616,17,9,17,10,29,707
420,13742,17,9,17,10,22,707,17,9,17,10,15,616
1560,13084,16,9,17,12,35,302,16,9,17,12,9,599
360,14472,17,9,17,10,21,707,17,9,17,10,15,616
1260,7701,16,9,17,18,44,616,16,9,17,18,23,730
1020,637,16,9,17,13,30,616,16,9,17,13,13,607
1140,7701,16,9,17,17,51,730,16,9,17,17,32,761
1080,13695,16,9,17,12,8,599,16,9,17,11,50,616
1200,2027,17,9,17,11,38,250,17,9,17,11,18,616
1560,13695,16,9,17,12,35,302,16,9,17,12,9,599
1020,13084,16,9,17,12,7,599,16,9,17,11,50,616
1020,6041,16,9,17,13,30,616,16,9,17,13,13,607
480,12579,13,9,17,12,45,22,13,9,17,12,37,773
600,12579,13,9,17,13,23,703,13,9,17,13,13,22
480,12406,19,9,17,9,25,309,19,9,17,9,17,579
600,9453,15,9,17,9,30,309,15,9,17,9,20,101
660,13924,18,9,17,20,51,101,18,9,17,20,40,309
540,6966,13,9,17,17,41,101,13,9,17,17,32,309
540,67,19,9,17,17,37,579,19,9,17,17,28,309
240,3187,19,9,17,14,1,306,19,9,17,13,57,116
1020,10932,19,9,17,13,43,318,19,9,17,13,26,306
300,13440,19,9,17,18,17,341,19,9,17,18,12,306
660,13943,19,9,17,9,50,364,19,9,17,9,39,341
660,14630,15,9,17,7,58,133,15,9,17,7,47,219
600,13441,14,9,17,12,1,219,14,9,17,11,51,133
240,6584,18,9,17,14,27,219,18,9,17,14,23,405
240,9121,15,9,17,11,54,219,15,9,17,11,50,405
1680,14757,19,9,17,15,28,159,19,9,17,15,0,216
240,10915,18,9,17,14,14,405,18,9,17,14,10,219
600,9950,15,9,17,15,51,219,15,9,17,15,41,432
360,12902,18,9,17,9,21,405,18,9,17,9,15,133
600,6289,14,9,17,18,8,219,14,9,17,17,58,133
600,14896,14,9,17,11,26,133,14,9,17,11,16,219
540,14293,17,9,17,13,12,219,17,9,17,13,3,133
780,10511,18,9,17,10,40,109,18,9,17,10,27,68
600,12109,18,9,17,7,55,133,18,9,17,7,45,219
540,6790,16,9,17,8,3,133,16,9,17,7,54,219
240,8442,19,9,17,14,44,405,19,9,17,14,40,219
