Wed. Jun. 18, 2014             LANDSAT 5                 Time: 02:21
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L12050383            Path/Row: 224 / 063

L0R Reference Image: L51CUB1011210130101_HDF.141690354
Acquisition Date: Jul 29, 2011

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
224   063   2001-07-09


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2240630005   -3.827743  -49.461839    36.817       3.411    -4.088     3.962    -3.555
2240630006   -3.752937  -49.505185    49.305      -1.117    -2.993    -0.676    -3.121
2240630009   -3.880287  -49.564393    47.345       0.060     3.954    -0.509     3.921
2240630010   -3.767493  -49.450872    37.337      -2.971    -4.104    -2.350    -4.487
2240630011   -3.800553  -49.585865    63.374       1.798     1.421     1.574     1.664
2240630012   -3.755168  -49.541103    56.575       2.648     3.167     2.165     3.514
2240630013   -3.834385  -49.535838    56.933      -0.843     2.440    -1.184     2.293
2240630015   -3.751841  -49.665623   -11.062      -3.677     0.878    -3.764     0.341
2240630016   -3.727985  -49.510629    34.234      -4.429    -1.453    -4.174    -2.074
2240630018   -3.869117  -50.450303    77.672       3.016     3.352     2.502     3.749
2240630019   -4.195445  -50.013283    94.764       2.535    -3.350     2.989    -2.949
2240630020   -4.371367  -49.424581    50.410      -1.418    -2.337    -1.067    -2.516
2240630021   -3.828191  -49.563130    45.215       4.725     4.379     4.046     5.012
2240630022   -3.832717  -49.677925   129.181      -6.695     2.299    -6.953     1.314
2240630023   -4.499645  -49.831461    86.959       0.314    -1.377     0.508    -1.316
2240630024   -3.827507  -49.481827    46.780      -1.825     4.777    -2.492     4.464
2240630025   -3.783637  -49.529441    46.928      -0.490    -0.989    -0.343    -1.048
2240630026   -3.779088  -49.567263    67.688       2.824     5.787     1.962     6.130
2240630028   -3.906065  -49.734544    62.924      -1.063    -1.304    -0.864    -1.442
2240630029   -3.966521  -49.538310    46.281       3.249     5.495     2.425     5.903
2240630030   -4.416320  -49.386105    55.489      -0.869     0.617    -0.948     0.486
