==============================================================================
==============================================================================
Wed. Jun. 18 2014                  LANDSAT 5                       Time: 07:31
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101406179892_00092                          Path / Row - 224 / 63
Reference Image: L51CUB1011210130101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2240630089   -3.45319    -50.72496    -0.25     -0.34     0.42     1 
2240630090   -3.45318    -50.69687    -0.14     -0.10     0.17     1 
2240630091   -3.45317    -50.66878    -0.20     -0.20     0.28     1 
2240630094   -3.45314    -50.58452    -0.13     -0.02     0.13     1 
2240630095   -3.45312    -50.55643     0.14      0.02     0.14     1 
2240630165   -3.47815    -50.69686     0.06      0.05     0.08     1 
2240630172   -3.47806    -50.50024    -0.13     -0.21     0.24     1 
2240630173   -3.47805    -50.47215    -0.25     -0.33     0.41     1 
2240630175   -3.47802    -50.41597    -0.20     -0.04     0.20     1 
2240630176   -3.47800    -50.38788    -0.17     -0.04     0.17     1 
2240630241   -3.50311    -50.66877     0.05     -0.41     0.41     1 
2240630244   -3.50307    -50.58449    -0.27      0.03     0.27     1 
2240630245   -3.50306    -50.55640    -0.14      0.05     0.14     1 
2240630246   -3.50305    -50.52831    -0.13      0.05     0.14     1 
2240630247   -3.50303    -50.50022    -0.14      0.06     0.16     1 
2240630248   -3.50302    -50.47214    -0.18     -0.09     0.20     1 
2240630249   -3.50300    -50.44405    -0.19      0.07     0.20     1 
2240630250   -3.50298    -50.41596    -0.12      0.06     0.14     1 
2240630252   -3.50295    -50.35978    -0.19     -0.07     0.21     1 
2240630255   -3.50289    -50.27551    -0.16     -0.01     0.16     1 
2240630256   -3.50286    -50.24742    -0.02      0.07     0.07     1 
2240630257   -3.50284    -50.21933    -0.16      0.04     0.16     1 
2240630314   -3.52809    -50.72494    -0.15      0.02     0.16     1 
2240630319   -3.52804    -50.58448    -0.13     -0.15     0.19     1 
2240630321   -3.52802    -50.52830    -0.02     -0.07     0.08     1 
2240630323   -3.52799    -50.47212    -0.09     -0.04     0.10     1 
2240630324   -3.52797    -50.44403    -0.21     -0.09     0.22     1 
2240630330   -3.52785    -50.27549    -0.10      0.14     0.17     1 
2240630331   -3.52783    -50.24740    -0.12      0.18     0.22     1 
2240630333   -3.52778    -50.19123    -0.18      0.02     0.18     1 
2240630335   -3.52773    -50.13505     0.01      0.29     0.29     1 
2240630336   -3.52771    -50.10696    -0.12     -0.19     0.23     1 
2240630394   -3.55301    -50.58447    -0.20     -0.03     0.21     1 
2240630396   -3.55299    -50.52829    -0.16      0.04     0.16     1 
2240630398   -3.55295    -50.47211    -0.00     -0.02     0.02     1 
2240630399   -3.55294    -50.44402    -0.16      0.16     0.23     1 
2240630400   -3.55292    -50.41593    -0.15      0.02     0.16     1 
2240630403   -3.55286    -50.33165    -0.16      0.11     0.19     1 
2240630405   -3.55282    -50.27547    -0.12      0.10     0.15     1 
2240630406   -3.55280    -50.24738    -0.13      0.11     0.17     1 
2240630408   -3.55275    -50.19120    -0.14      0.12     0.19     1 
2240630410   -3.55270    -50.13502    -0.09      0.07     0.11     1 
2240630411   -3.55267    -50.10694     0.10      0.16     0.19     1 
2240630412   -3.55265    -50.07885    -0.09      0.07     0.12     1 
2240630415   -3.55256    -49.99458     0.06      0.00     0.06     1 
2240630465   -3.57803    -50.69683    -0.09     -0.20     0.22     1 
2240630466   -3.57801    -50.66874    -0.13      0.13     0.18     1 
2240630467   -3.57801    -50.64064     0.22     -0.09     0.24     1 
2240630469   -3.57798    -50.58446    -0.18     -0.03     0.18     1 
2240630471   -3.57795    -50.52828    -0.22      0.02     0.22     1 
2240630472   -3.57794    -50.50018    -0.01      0.03     0.04     1 
2240630473   -3.57792    -50.47209    -0.02      0.00     0.02     1 
2240630474   -3.57791    -50.44400    -0.37     -0.04     0.37     1 
