LONGITUDE,LATITUDE,BRIGHT_TI4,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_TI5,FRP,DAYNIGHT
6.7047,5.66217,307.7,0.52,0.42,2020-06-13,118,N,VIIRS,n,1.0NRT,286.2,1.5,N
5.05021,5.95086,317.8,0.43,0.38,2020-06-13,118,N,VIIRS,n,1.0NRT,286.6,1.6,N
6.70694,5.65936,307.6,0.52,0.42,2020-06-13,118,N,VIIRS,n,1.0NRT,285.8,0.6,N
6.70757,5.66319,301.8,0.52,0.42,2020-06-13,118,N,VIIRS,n,1.0NRT,286.2,0.6,N
6.51535,5.65914,335,0.51,0.41,2020-06-13,118,N,VIIRS,n,1.0NRT,287.7,4.1,N
6.36038,5.68434,344.9,0.5,0.41,2020-06-13,118,N,VIIRS,n,1.0NRT,286.9,6.5,N
6.51996,5.65839,313.3,0.51,0.41,2020-06-13,118,N,VIIRS,n,1.0NRT,286,4.1,N
6.66886,5.63415,343.3,0.52,0.42,2020-06-13,118,N,VIIRS,n,1.0NRT,286.6,8.5,N
6.83028,5.50384,305.6,0.53,0.42,2020-06-13,118,N,VIIRS,n,1.0NRT,283.9,1,N
4.87861,5.91303,314.9,0.43,0.38,2020-06-13,118,N,VIIRS,n,1.0NRT,285.5,1.9,N
6.76328,5.45549,306.1,0.53,0.42,2020-06-13,118,N,VIIRS,n,1.0NRT,284,1.2,N
5.37901,5.68767,306.3,0.45,0.39,2020-06-13,118,N,VIIRS,n,1.0NRT,287.7,1.1,N
3.67206,6.98191,297.7,0.5,0.41,2020-06-14,54,N,VIIRS,n,1.0NRT,269.3,0.8,N
6.65789,7.4697,300.6,0.39,0.36,2020-06-14,54,N,VIIRS,n,1.0NRT,288.6,0.6,N
5.86696,6.01341,329.4,0.4,0.37,2020-06-14,54,N,VIIRS,n,1.0NRT,284.6,1.6,N
8.0958,6.23868,308.3,0.39,0.36,2020-06-14,54,N,VIIRS,n,1.0NRT,290.4,0.9,N
5.43894,6.06568,314.5,0.41,0.37,2020-06-14,54,N,VIIRS,n,1.0NRT,279.4,1.3,N
5.86334,6.01397,307.1,0.4,0.37,2020-06-14,54,N,VIIRS,n,1.0NRT,279.6,1.6,N
